area,Anthony,Deloris,owner in kickoff,actual risk
Unity C#,4,2,Anthony,Anthony is only person who can fix core interactions
3D environment,2,4,Deloris,restaurant asset list is larger than schedule
lighting,2,4,Deloris,pink materials after version mismatch
narrative design,2,4,Deloris,story clues do not match current recipe
UI/UX,4,2,Anthony,timer UI remains after design cut
audio,2,3,Deloris,reference music licensing unclear
source control,3,2,Shared,repo not used consistently
production,3,3,Shared,two current schedules
animation,1,2,Deloris,avoid character-heavy plan
builds,4,1,Anthony,build only tested on Anthony's PC
