item,estimated cost,status,owner,notes
restaurant prop pack,35,purchased,Deloris,license receipt in email
rain ambience,0,temp,Deloris,CC license not recorded
music composition,150,uncertain,Mina,friend rate mentioned verbally
font Fraunces,0,allowed?,Deloris,need check license
font Inter,0,allowed,Anthony,open font
voice actor,100,cut?,Shared,old three-customer plan
showcase fee,25,not paid,Anthony,due with application
Unity assets total,60,budgeted,Anthony,includes interaction tool we did not buy

Budget cap appears as $100 in kickoff and $250 in festival draft.
